,m_1_L,m_1_B1,m_1_B5,p_L,p_B1,p_B5,m_2_L,m_2_B1,m_2_B5,o_L,o_B1,o_B5,Charge_O,Charge_next_O,Charge_o_1,Charge_m_1,Charge_p,Charge_m_2,Charge_o_2,HOMO,MolLogP,MolWt,num_N,num_O,num_S,num_F,num_Cl,num_Br
m_1_L,1.0,0.5547239550422598,0.7729111118794931,-0.1923623041243423,-0.2245125575136554,-0.20536776987909267,-0.031558308297681026,0.01549106724397291,-0.04974784787425225,0.01763436802257464,0.06911751200251165,0.012439231440602577,-0.08242413025969662,0.11823768755000605,-0.4118916914199876,0.6035463224980407,-0.20705918706156773,0.04067610366419014,0.07746767110915076,0.03681062430596779,0.062288738221865196,0.025514354193063648,-0.06540376158355098,0.09009128945129936,-0.049505650348568346,-0.0031834628852575792,-0.04049854243791181,0.01645375289072172
m_1_B1,0.5547239550422598,1.0,0.5816876166838606,-0.2048828564031733,-0.2203640867342658,-0.2274565578150823,-0.030254672716905948,0.06409764406198802,-0.05103164904417386,-0.003615693556091367,0.09340815726018506,-0.006095861343813962,-0.03820409586031471,0.08376731313900149,-0.356195902583307,0.5488231884538454,-0.19798069788560144,0.0554528201621698,0.08748558423624654,-1.8505817610157068e-05,-0.019883531751959387,-0.06996716350918983,-0.08795239653974062,-0.029398527435324073,-0.06667252375364112,0.03735822592369174,0.01180028870122974,0.05172212473605362
m_1_B5,0.7729111118794931,0.5816876166838606,1.0,-0.19361086673233321,-0.2305746085049277,-0.2064216084256164,-0.03724951404750988,0.005151127133864938,-0.05269084890796223,0.022523956863258098,0.07035257713007102,0.02194911375865514,-0.09786161849346943,0.08819435943574692,-0.407108537418383,0.5917670797334509,-0.21275169584729026,0.020533614642758435,0.10331793335219011,0.0773304127926776,0.10583581318835032,0.07190287296872466,-0.02657913289961059,0.09719245401817435,-0.04467736354557002,-0.011390545995159446,-0.04874373006570036,0.007185284868256144
p_L,-0.1923623041243423,-0.2048828564031733,-0.19361086673233321,1.0,0.5141704505589318,0.6273902245901186,-0.2123873760172603,-0.21951303555852053,-0.22017565143438697,-0.29564879839026903,-0.35237504550308246,-0.35166439614573286,0.38167446107397085,-0.2493824360453715,0.1180586702704392,-0.248631387320438,0.3738527871147145,-0.24742383945065907,0.11752455050318895,0.17792918417839027,0.13769021047794305,0.2305188943547183,0.12679895405695882,0.19336538027262165,0.038543776869730165,-0.05259577937183146,-0.04126965112156335,-0.06003067664498883
p_B1,-0.2245125575136554,-0.2203640867342658,-0.2305746085049277,0.5141704505589318,1.0,0.5097161229490262,-0.2611999975527343,-0.2556443375240058,-0.27711440899463335,-0.1824121191384655,-0.1761077972150915,-0.21025196948849004,0.25780797265411776,-0.17860634547876697,0.16368833931680465,-0.24828508941787666,0.40449423900477277,-0.2649122636496756,0.10074334912156357,0.043167059001780306,0.13527598777230887,0.16871083045536805,0.03104043564677077,0.011684103428322767,0.006009824164760217,-0.03290538653669932,0.04819749084501537,0.2103933747698595
p_B5,-0.20536776987909267,-0.2274565578150823,-0.2064216084256164,0.6273902245901186,0.5097161229490262,1.0,-0.22672936825374396,-0.23707969893437764,-0.23418384421424326,-0.3471806252594618,-0.421587062350681,-0.41470590931264484,0.4213864278108062,-0.3558719314446253,0.14809965841498005,-0.28656621879970057,0.404015510911883,-0.294242500092846,0.19582250779278357,0.22754747037355635,0.14242651876000467,0.2458182364920077,0.16807039483938202,0.20584349558208687,0.06132891564297163,-0.0672841705632836,-0.07214237840653472,-0.1383357219460453
m_2_L,-0.031558308297681026,-0.030254672716905948,-0.03724951404750988,-0.2123873760172603,-0.2611999975527343,-0.22672936825374396,1.0,0.697282169425662,0.8048037851302107,-0.22592145926394186,-0.2598845678661044,-0.24111386515054076,0.1961793405952508,0.04694652045094329,0.006429566505005902,-0.036038197629347075,-0.20767436712724516,0.5223568157860942,-0.23066381479764583,-0.08899281046410591,-0.01359415932520807,-0.005624717259935812,0.019329576392269624,-0.020932601335268225,0.042671569901123786,-0.02389251089557392,0.03538638823754581,-0.04757543751747755
m_2_B1,0.01549106724397291,0.06409764406198802,0.005151127133864938,-0.21951303555852053,-0.2556443375240058,-0.23707969893437764,0.697282169425662,1.0,0.6945117940366392,-0.24770255459882876,-0.2652156997563534,-0.26928455196588713,0.22992145362914118,0.05294222982048905,-0.018550986416234167,-0.005846687315074149,-0.1883184288803251,0.5372945189194056,-0.2227878664172132,-0.15175308473231836,-0.056373857602530754,-0.0846282017714799,-0.058113066149033346,-0.07117000719796429,0.0027142843978120363,0.05245573264516681,0.07086578452126682,-0.012396714404442802
m_2_B5,-0.04974784787425225,-0.05103164904417386,-0.05269084890796223,-0.22017565143438697,-0.27711440899463335,-0.23418384421424326,0.8048037851302107,0.6945117940366392,1.0,-0.2326190311452477,-0.26969277163130506,-0.24846863513289785,0.19289882407628886,0.04825216182016565,-0.004901701740923147,-0.047452652990913516,-0.224555099279948,0.5325987535296406,-0.24373216278449994,-0.0764110559146694,0.011344396260440445,0.021559218301293304,0.046148448498060775,-0.0004991574258552562,0.048641848276049594,-0.03390808807452712,0.00940135606781695,-0.0658874074127184
o_L,0.01763436802257464,-0.003615693556091367,0.022523956863258098,-0.29564879839026903,-0.1824121191384655,-0.3471806252594618,-0.22592145926394186,-0.24770255459882876,-0.2326190311452477,1.0,0.5948544764865868,0.6134082353183569,-0.5935460626514504,0.198483153449595,0.017478468648917816,0.10508673071549672,-0.1655317932489795,-0.15870153967490364,0.12605529594348322,0.08958938547112336,0.2801390144930801,0.3636659117232974,0.19771429973617824,0.0938641349977519,0.009253220778031371,-0.04910336718024123,0.10831344744612546,0.1923253228129391
o_B1,0.06911751200251165,0.09340815726018506,0.07035257713007102,-0.35237504550308246,-0.1761077972150915,-0.421587062350681,-0.2598845678661044,-0.2652156997563534,-0.26969277163130506,0.5948544764865868,1.0,0.6043962038363074,-0.5922002752069794,0.19154315063152594,-0.03585517548542946,0.15659843313034166,-0.13900333466432632,-0.1856941698171542,0.12782211958988107,-0.0062319298794766284,0.21717898023526563,0.15160298473928438,0.022291254662416164,-0.08653736142223035,-0.032674986349748504,-0.002299408487919379,0.15804303271532408,0.18229937068230337
o_B5,0.012439231440602577,-0.006095861343813962,0.02194911375865514,-0.35166439614573286,-0.21025196948849004,-0.41470590931264484,-0.24111386515054076,-0.26928455196588713,-0.24846863513289785,0.6134082353183569,0.6043962038363074,1.0,-0.7195504266634593,0.27132370731678,-0.01425631770852986,0.14046258715657797,-0.17424608276818732,-0.15591190583127656,0.10556703311336198,0.09171213424460152,0.3348161700483709,0.3990050402471507,0.2181448513150989,0.0816229457651411,0.013037170864338239,-0.05879184747197747,0.09663555112519685,0.20279941164019213
Charge_O,-0.08242413025969662,-0.03820409586031471,-0.09786161849346943,0.38167446107397085,0.25780797265411776,0.4213864278108062,0.1961793405952508,0.22992145362914118,0.19289882407628886,-0.5935460626514504,-0.5922002752069794,-0.7195504266634593,1.0,-0.1911575090472098,0.001006384685234718,-0.1524699689091186,0.11686856751202088,0.16402309568149542,-0.11733665633759412,-0.23959674148923912,-0.1743815341839329,-0.22877951330270013,-0.15352988051406727,-0.03357937005540086,0.031565244184341944,0.09602059571890895,-0.007758248716358201,-0.09699652478057584
Charge_next_O,0.11823768755000605,0.08376731313900149,0.08819435943574692,-0.2493824360453715,-0.17860634547876697,-0.3558719314446253,0.04694652045094329,0.05294222982048905,0.04825216182016565,0.198483153449595,0.19154315063152594,0.27132370731678,-0.1911575090472098,1.0,-0.5013307105468194,0.44894311605198983,-0.3415181224240211,0.37129490794075803,-0.6862543234292868,-0.32920740644361407,0.059722494577506204,0.027783150409551285,-0.05874151553596535,0.0009051322343006762,-0.007762252218452229,-0.014402243815169139,0.10155530721116005,0.13019897248216783
Charge_o_1,-0.4118916914199876,-0.356195902583307,-0.407108537418383,0.1180586702704392,0.16368833931680465,0.14809965841498005,0.006429566505005902,-0.018550986416234167,-0.004901701740923147,0.017478468648917816,-0.03585517548542946,-0.01425631770852986,0.001006384685234718,-0.5013307105468194,1.0,-0.8275909797507116,0.2896746187017106,-0.2750062039443083,0.28529225869605135,0.01039185299939717,-0.017382495391693738,0.06984720689867448,0.11252766707214114,-0.022759399863841675,0.03872170904795809,0.0023939617888526707,0.083641776538068,0.09769483749373915
Charge_m_1,0.6035463224980407,0.5488231884538454,0.5917670797334509,-0.248631387320438,-0.24828508941787666,-0.28656621879970057,-0.036038197629347075,-0.005846687315074149,-0.047452652990913516,0.10508673071549672,0.15659843313034166,0.14046258715657797,-0.1524699689091186,0.44894311605198983,-0.8275909797507116,1.0,-0.36754515780993496,0.18727546374714857,-0.10429962185886615,-0.022464462698055472,0.026805593388665075,-0.03135231697696972,-0.12048782135799445,0.06051167669094013,-0.04652690242631368,0.023454291137137078,-0.024947391895819782,0.003043511022590482
Charge_p,-0.20705918706156773,-0.19798069788560144,-0.21275169584729026,0.3738527871147145,0.40449423900477277,0.404015510911883,-0.20767436712724516,-0.1883184288803251,-0.224555099279948,-0.1655317932489795,-0.13900333466432632,-0.17424608276818732,0.11686856751202088,-0.3415181224240211,0.2896746187017106,-0.36754515780993496,1.0,-0.3424552384989747,0.07894088052110178,0.22421857341492965,0.012605405315432298,-0.011409160926852617,-0.03435294808017659,0.00914202207805819,-0.04334894008799985,0.052690239755623834,-0.05898045826430859,0.049780592718204675
Charge_m_2,0.04067610366419014,0.0554528201621698,0.020533614642758435,-0.24742383945065907,-0.2649122636496756,-0.294242500092846,0.5223568157860942,0.5372945189194056,0.5325987535296406,-0.15870153967490364,-0.1856941698171542,-0.15591190583127656,0.16402309568149542,0.37129490794075803,-0.2750062039443083,0.18727546374714857,-0.3424552384989747,1.0,-0.4176848643433959,-0.20560198490157075,-0.09842076976410984,-0.16027292980977598,-0.1577081677329296,-0.027721006279225503,-0.027948437163009487,0.06699469602415783,0.01933720106131104,-0.005193470486269793
Charge_o_2,0.07746767110915076,0.08748558423624654,0.10331793335219011,0.11752455050318895,0.10074334912156357,0.19582250779278357,-0.23066381479764583,-0.2227878664172132,-0.24373216278449994,0.12605529594348322,0.12782211958988107,0.10556703311336198,-0.11733665633759412,-0.6862543234292868,0.28529225869605135,-0.10429962185886615,0.07894088052110178,-0.4176848643433959,1.0,0.2826527731293032,0.01738581968420492,0.12700455359978124,0.13235243680970532,0.1465789890027427,0.044365438302784256,-0.00022656721864101415,-0.029279672006772863,-0.005581092724094724
HOMO,0.03681062430596779,-1.8505817610157068e-05,0.0773304127926776,0.17792918417839027,0.043167059001780306,0.22754747037355635,-0.08899281046410591,-0.15175308473231836,-0.0764110559146694,0.08958938547112336,-0.0062319298794766284,0.09171213424460152,-0.23959674148923912,-0.32920740644361407,0.01039185299939717,-0.022464462698055472,0.22421857341492965,-0.20560198490157075,0.2826527731293032,1.0,0.23364115372295036,0.27046547068419424,0.3692666790630883,-0.022890363083973554,-0.007311942708932339,-0.24588113060227942,-0.17560355223545374,-0.14182610517734745
MolLogP,0.062288738221865196,-0.019883531751959387,0.10583581318835032,0.13769021047794305,0.13527598777230887,0.14242651876000467,-0.01359415932520807,-0.056373857602530754,0.011344396260440445,0.2801390144930801,0.21717898023526563,0.3348161700483709,-0.1743815341839329,0.059722494577506204,-0.017382495391693738,0.026805593388665075,0.012605405315432298,-0.09842076976410984,0.01738581968420492,0.23364115372295036,1.0,0.6397500188346539,0.13301228126464218,-0.1369710416024959,0.11626775524195831,-0.008433466985229055,0.22440456690157118,0.16475324972848782
MolWt,0.025514354193063648,-0.06996716350918983,0.07190287296872466,0.2305188943547183,0.16871083045536805,0.2458182364920077,-0.005624717259935812,-0.0846282017714799,0.021559218301293304,0.3636659117232974,0.15160298473928438,0.3990050402471507,-0.22877951330270013,0.027783150409551285,0.06984720689867448,-0.03135231697696972,-0.011409160926852617,-0.16027292980977598,0.12700455359978124,0.27046547068419424,0.6397500188346539,1.0,0.5960403565527177,0.3974147651273279,0.2601801198925211,-0.09268052507184636,0.17945930957854944,0.2743852702923413
num_N,-0.06540376158355098,-0.08795239653974062,-0.02657913289961059,0.12679895405695882,0.03104043564677077,0.16807039483938202,0.019329576392269624,-0.058113066149033346,0.046148448498060775,0.19771429973617824,0.022291254662416164,0.2181448513150989,-0.15352988051406727,-0.05874151553596535,0.11252766707214114,-0.12048782135799445,-0.03435294808017659,-0.1577081677329296,0.13235243680970532,0.3692666790630883,0.13301228126464218,0.5960403565527177,1.0,0.053068247390362054,0.18376688474713673,-0.13035342850486575,0.042823782464891956,0.03234776655273134
num_O,0.09009128945129936,-0.029398527435324073,0.09719245401817435,0.19336538027262165,0.011684103428322767,0.20584349558208687,-0.020932601335268225,-0.07117000719796429,-0.0004991574258552562,0.0938641349977519,-0.08653736142223035,0.0816229457651411,-0.03357937005540086,0.0009051322343006762,-0.022759399863841675,0.06051167669094013,0.00914202207805819,-0.027721006279225503,0.1465789890027427,-0.022890363083973554,-0.1369710416024959,0.3974147651273279,0.053068247390362054,1.0,0.025390679671561733,-0.13658190054318284,-0.0811927831315393,-0.07214663610976689
num_S,-0.049505650348568346,-0.06667252375364112,-0.04467736354557002,0.038543776869730165,0.006009824164760217,0.06132891564297163,0.042671569901123786,0.0027142843978120363,0.048641848276049594,0.009253220778031371,-0.032674986349748504,0.013037170864338239,0.031565244184341944,-0.007762252218452229,0.03872170904795809,-0.04652690242631368,-0.04334894008799985,-0.027948437163009487,0.044365438302784256,-0.007311942708932339,0.11626775524195831,0.2601801198925211,0.18376688474713673,0.025390679671561733,1.0,-0.03888097437583321,0.0002628822593890276,-0.05792278269172907
num_F,-0.0031834628852575792,0.03735822592369174,-0.011390545995159446,-0.05259577937183146,-0.03290538653669932,-0.0672841705632836,-0.02389251089557392,0.05245573264516681,-0.03390808807452712,-0.04910336718024123,-0.002299408487919379,-0.05879184747197747,0.09602059571890895,-0.014402243815169139,0.0023939617888526707,0.023454291137137078,0.052690239755623834,0.06699469602415783,-0.00022656721864101415,-0.24588113060227942,-0.008433466985229055,-0.09268052507184636,-0.13035342850486575,-0.13658190054318284,-0.03888097437583321,1.0,-0.036753325966106316,-0.010632245633767237
num_Cl,-0.04049854243791181,0.01180028870122974,-0.04874373006570036,-0.04126965112156335,0.04819749084501537,-0.07214237840653472,0.03538638823754581,0.07086578452126682,0.00940135606781695,0.10831344744612546,0.15804303271532408,0.09663555112519685,-0.007758248716358201,0.10155530721116005,0.083641776538068,-0.024947391895819782,-0.05898045826430859,0.01933720106131104,-0.029279672006772863,-0.17560355223545374,0.22440456690157118,0.17945930957854944,0.042823782464891956,-0.0811927831315393,0.0002628822593890276,-0.036753325966106316,1.0,-0.030716088366230063
num_Br,0.01645375289072172,0.05172212473605362,0.007185284868256144,-0.06003067664498883,0.2103933747698595,-0.1383357219460453,-0.04757543751747755,-0.012396714404442802,-0.0658874074127184,0.1923253228129391,0.18229937068230337,0.20279941164019213,-0.09699652478057584,0.13019897248216783,0.09769483749373915,0.003043511022590482,0.049780592718204675,-0.005193470486269793,-0.005581092724094724,-0.14182610517734745,0.16475324972848782,0.2743852702923413,0.03234776655273134,-0.07214663610976689,-0.05792278269172907,-0.010632245633767237,-0.030716088366230063,1.0
