,SMILES,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Sum
0,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,0.0,5.029012613536309,5.347862745265163,5.170335676595809,3.675574962454148,4.915626880653024,4.371394182490513,5.127179495163332,4.377700549842078,7.406659979027655,7.763768379081863,5.474625253126043,5.512214166844176,5.4712598898083495,5.301053198162939,7.340575446974682,5.639560768850532,4.482486038175114,5.3168850807231784,4.670971647213473,3.9179275666567284,106.3126745206451
1,COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,5.029012613536309,0.0,0.8708290271174188,6.244980003913235,5.007841029942107,5.94267138625423,5.461113027657917,5.9309218877394185,1.7813091315621021,8.13511768761852,8.244002792120217,6.42495593631342,6.317714103190122,6.272113531285654,6.187430803684841,7.874764475852649,6.593220444512548,5.560800976812031,5.708027717640011,5.155049239851564,4.56556697332922,113.30744278993355
2,COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,5.347862745265163,0.8708290271174188,0.0,6.68596290871928,5.4682672909183365,6.306512678280169,5.833025897811228,6.346497826966588,2.515820445416085,8.465678321848168,8.428571242839952,6.789218102041225,6.613497843281538,6.571499042839194,6.492105037553631,8.09979997790053,6.965610980127357,5.953220007738994,6.017856912345027,5.542959031234824,4.967367533778067,120.28216285402277
3,Cc1ccc(O)c(C)c1,5.170335676595809,6.244980003913235,6.68596290871928,0.0,3.508779854168659,4.209248248178669,5.543534896465595,3.860152046540464,5.275276992782155,5.502245310506997,7.538214824025092,4.072824769367667,4.4543643997967335,4.447582354441259,4.73168297160901,6.724191349870111,4.03330314876941,1.9036405154111897,4.392168075275076,2.7605433323629933,3.212400791040595,94.27143246983998
4,Cc1ccc(O)c(C(C)(C)C)c1,3.675574962454148,5.007841029942107,5.4682672909183365,3.508779854168659,0.0,4.5521503278090725,4.282486464833859,4.39374378387859,4.010882666936431,7.257297778483394,7.5194166677439,5.16951978607812,4.948920975184322,4.95771273531368,5.302380443972324,6.74905746363695,5.314926402467544,3.040992123001889,4.670820269855358,3.2807895433985044,3.307204436113154,96.41876500619033
5,Cc1cc(O)c(C(C)C)cc1C,4.915626880653024,5.94267138625423,6.306512678280169,4.209248248178669,4.5521503278090725,0.0,2.4059649344444303,4.991685256386978,5.181972744373922,4.538143037968209,6.435959575074994,1.1235129319782884,2.7135538303047047,2.6462397749765896,1.4087499028734518,7.318813755210014,1.419750300294477,3.880018040093971,2.3626844107627223,4.205108565632598,2.275182555464132,78.83354913701466
6,Cc1cc(O)c(C(C)(C)C)cc1C,4.371394182490513,5.461113027657917,5.833025897811228,5.543534896465595,4.282486464833859,2.4059649344444303,0.0,5.4592687404490645,4.666733858720597,6.016198503100159,6.85794567359626,3.3031412056066998,3.985226017683242,3.9135646529739967,3.033940001594462,7.756303070589008,3.518935621615383,4.956780727960765,3.6376955779298386,5.130330024337364,3.1253330072171717,93.25891608707754
7,Cc1ccc(O)c(Br)c1,5.127179495163332,5.9309218877394185,6.346497826966588,3.860152046540464,4.39374378387859,4.991685256386978,5.4592687404490645,0.0,5.006311203027674,6.025338634972106,7.729944796626002,5.006253437127949,5.194777969290211,5.122623743164164,5.189722320697759,7.0632170833669035,5.065069551215699,3.667211389246082,5.2230064454142395,4.167214657390939,3.777559332883166,104.34769960154735
8,COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(C)=O,4.377700549842078,1.7813091315621021,2.515820445416085,5.275276992782155,4.010882666936431,5.181972744373922,4.666733858720597,5.006311203027674,0.0,7.4967413191052374,7.9276275559114895,5.635696237406097,5.747981335118598,5.6912150219817805,5.591954873995058,7.478838168944379,5.778396089544114,4.77070511315417,5.242612054473812,4.529428979710264,3.7988094696466717,102.5060138116527
9,Cc1cc(O)cc(C)c1C,7.406659979027655,8.13511768761852,8.465678321848168,5.502245310506997,7.257297778483394,4.538143037968209,6.016198503100159,6.025338634972106,7.4967413191052374,0.0,7.940642033536101,3.9397948160036003,5.05826498342062,4.958846180292663,4.340088446551776,8.61468643968791,3.819312219977933,5.635503795337558,5.107107865086985,6.101220423101566,4.955551474163989,121.31443924979115
10,Cc1cc(O)c(-c2ccc(C(F)(F)F)cc2)cc1C,7.763768379081863,8.244002792120217,8.428571242839952,7.538214824025092,7.5194166677439,6.435959575074994,6.85794567359626,7.729944796626002,7.9276275559114895,7.940642033536101,0.0,6.6168827754666015,4.127196666885623,4.132073809559375,6.340682976780422,3.136431651659155,6.823220825017663,6.89689841197515,6.195306545383779,6.941055113494958,5.613017538228203,133.20885985500678
11,CCc1cc(C)c(C)cc1O,5.474625253126043,6.42495593631342,6.789218102041225,4.072824769367667,5.16951978607812,1.1235129319782884,3.3031412056066998,5.006253437127949,5.635696237406097,3.9397948160036003,6.6168827754666015,0.0,2.845161099729522,2.7641964766208,1.408126738615703,7.471078569530338,0.620159482840906,3.937552422426519,2.589887639623425,4.324267254441449,2.631922879387508,82.14877781373188
12,Cc1cc(O)c(-c2ccc(F)cc2)cc1C,5.512214166844176,6.317714103190122,6.613497843281538,4.4543643997967335,4.948920975184322,2.7135538303047047,3.985226017683242,5.194777969290211,5.747981335118598,5.05826498342062,4.127196666885623,2.845161099729522,0.0,0.32071079509890166,2.6336265130593612,5.15146665716261,3.179705473282075,3.7142909041574934,2.336311051977355,3.862765634018734,2.2909313897935095,81.00868180927947
13,Cc1cc(O)c(-c2cccc(F)c2)cc1C,5.4712598898083495,6.272113531285654,6.571499042839194,4.447582354441259,4.95771273531368,2.6462397749765896,3.9135646529739967,5.122623743164164,5.6912150219817805,4.958846180292663,4.132073809559375,2.7641964766208,0.32071079509890166,0.0,2.5894669283135734,5.16794880180136,3.0983937994095645,3.7420064290917976,2.443794520509461,3.945274385626997,2.2414236707253443,80.4979465438345
14,Cc1cc(O)c(-c2ccccc2)cc1C,5.301053198162939,6.187430803684841,6.492105037553631,4.73168297160901,5.302380443972324,1.4087499028734518,3.033940001594462,5.189722320697759,5.591954873995058,4.340088446551776,6.340682976780422,1.408126738615703,2.6336265130593612,2.5894669283135734,0.0,7.3304258787798995,1.854555168029168,4.058178164835662,2.100372818871829,4.231081683403254,2.58651902946203,82.71214390084616
15,Cc1ccc(O)c(-c2ccc(C(F)(F)F)cc2)c1,7.340575446974682,7.874764475852649,8.09979997790053,6.724191349870111,6.74905746363695,7.318813755210014,7.756303070589008,7.0632170833669035,7.478838168944379,8.61468643968791,3.136431651659155,7.471078569530338,5.15146665716261,5.16794880180136,7.3304258787798995,0.0,7.6511788012480535,6.125710097845086,6.948116468066942,6.195359983452323,5.72772260292626,135.92568674450519
16,Cc1cc(C)c(O)cc1C,5.639560768850532,6.593220444512548,6.965610980127357,4.03330314876941,5.314926402467544,1.419750300294477,3.518935621615383,5.065069551215699,5.778396089544114,3.819312219977933,6.823220825017663,0.620159482840906,3.179705473282075,3.0983937994095645,1.854555168029168,7.6511788012480535,0.0,4.148574453792217,3.0309677145434843,4.596553117296742,2.8917900986628067,86.04318446149767
17,Cc1ccc(O)c(-c2ccccc2)c1,4.482486038175114,5.560800976812031,5.953220007738994,1.9036405154111897,3.040992123001889,3.880018040093971,4.956780727960765,3.667211389246082,4.77070511315417,5.635503795337558,6.89689841197515,3.937552422426519,3.7142909041574934,3.7420064290917976,4.058178164835662,6.125710097845086,4.148574453792217,0.0,3.41875661965176,1.2602054365734738,2.418873569828548,83.57240523710948
18,COc1ccc(-c2cc(C)c(C)cc2O)cc1,5.3168850807231784,5.708027717640011,6.017856912345027,4.392168075275076,4.670820269855358,2.3626844107627223,3.6376955779298386,5.2230064454142395,5.242612054473812,5.107107865086985,6.195306545383779,2.589887639623425,2.336311051977355,2.443794520509461,2.100372818871829,6.948116468066942,3.0309677145434843,3.41875661965176,0.0,3.138973068809145,2.3719348782398493,82.2532857351833
19,COc1ccc(-c2cc(C)ccc2O)cc1,4.670971647213473,5.155049239851564,5.542959031234824,2.7605433323629933,3.2807895433985044,4.205108565632598,5.130330024337364,4.167214657390939,4.529428979710264,6.101220423101566,6.941055113494958,4.324267254441449,3.862765634018734,3.945274385626997,4.231081683403254,6.195359983452323,4.596553117296742,1.2602054365734738,3.138973068809145,0.0,2.6227731741825235,86.6619242955337
20,Average,3.9179275666567284,4.56556697332922,4.967367533778067,3.212400791040595,3.307204436113154,2.275182555464132,3.1253330072171717,3.777559332883166,3.7988094696466717,4.955551474163989,5.613017538228203,2.631922879387508,2.2909313897935095,2.2414236707253443,2.58651902946203,5.72772260292626,2.8917900986628067,2.418873569828548,2.3719348782398493,2.6227731741825235,0.0,69.2998119717295
